Season,Episode,Rating
01,01,8.7
01,02,8.1
01,03,8.2
01,04,8
01,05,8
01,06,7.8
01,07,8
01,08,8.1
01,09,8
01,10,8
01,11,7.7
01,12,8.6
01,13,8
01,14,7.8
01,15,7.8
01,16,8.5
01,17,8.7
01,18,7.9
01,19,8.1
01,20,7.6
01,21,8.9
01,22,8.4
01,23,8.7
01,24,8.9
02,01,7.9
02,02,7.7
02,03,9.3
02,04,8.3
02,05,7.8
02,06,8.1
02,07,8.5
02,08,8
02,09,8.3
02,10,7.6
02,11,8.5
02,12,8
02,13,8.5
02,14,7.9
02,15,8
02,16,8.1
02,17,9
02,18,8.2
02,19,8.3
02,20,8.5
02,21,9
02,22,8.6
02,23,9.1
02,24,8.4
03,01,8.3
03,02,8.1
03,03,8
03,04,7.7
03,05,8.1
03,06,8.3
03,07,8.7
03,08,8.5
03,09,8.1
03,10,7.6
03,11,7.3
03,12,7.8
03,13,9.2
03,14,8
03,15,8.1
03,16,8.5
03,17,8.8
03,18,8.5
03,19,7.9
03,20,7.8
03,21,8.1
03,22,7.9
03,23,8.1
03,24,8.5
04,01,9.2
04,02,8.1
04,03,8.4
04,04,8.1
04,05,8.5
04,06,9
04,07,8.5
04,08,7.9
04,09,8.1
04,10,7.6
04,11,8.1
04,12,8.5
04,13,8.5
04,14,8.7
04,15,8.4
04,16,7.8
04,17,7.9
04,18,9.5
04,19,8.5
04,20,8.8
04,21,8.7
04,22,7.6
04,23,8
05,01,8.9
05,02,8.7
05,03,9.2
05,04,8.1
05,05,7.9
05,06,8.3
05,07,8
05,08,7.4
05,09,8.8
05,10,7.8
05,11,7.7
05,12,8
05,13,8.3
05,14,9.6
05,15,9
05,16,7.6
05,17,8.3
05,18,7.8
05,19,7.5
05,20,8.9
05,21,8.7
05,22,8.5
05,23,7.8
05,24,7.9
06,01,7.8
06,02,7.7
06,03,8.8
06,04,7.6
06,05,7.4
06,06,7.9
06,07,8.4
06,08,8.5
06,09,7.5
06,10,8.9
06,11,7.9
06,12,7.6
06,13,7.3
06,14,9.1
06,15,8.5
06,16,8.7
06,17,8.5
06,18,8.1
06,19,8.3
06,20,8.3
06,21,8.1
06,22,8.6
06,23,8.3
06,24,8.7
07,01,8.2
07,02,7.7
07,03,8.1
07,04,7.7
07,05,7.7
07,06,7.7
07,07,8.7
07,08,8.1
07,09,7.9
07,10,9
07,11,8.6
07,12,8.5
07,13,8.3
07,14,7.7
07,15,9.2
07,16,7.7
07,17,7.9
07,18,7.7
07,19,7.7
07,20,8.5
07,21,7.7
07,22,8.8
07,23,8.9
07,24,9.3
08,01,8.3
08,02,8.6
08,03,7.6
08,04,7.5
08,05,8.8
08,06,7.5
08,07,7.7
08,08,7.1
08,09,8.1
08,10,7.4
08,11,7.7
08,12,8.6
08,13,8
08,14,8.6
08,15,8.5
08,16,7.6
08,17,7.4
08,18,7.6
08,19,8.7
08,20,7.7
08,21,7.5
08,22,7.8
08,23,7.5
08,24,7.8
09,01,7.6
09,02,8.3
09,03,7.8
09,04,8.4
09,05,7.8
09,06,8.3
09,07,8.6
09,08,7.7
09,09,7.4
09,10,7.3
09,11,7.4
09,12,7.3
09,13,7.2
09,14,7.7
09,15,8.3
09,16,8.1
09,17,7.7
09,18,7.3
09,19,7.9
09,20,8
09,21,7.9
09,22,7.5
09,23,7.8
09,24,7.6
10,01,8.1
10,02,8
10,03,7.7
10,04,7.4
10,05,7.8
10,06,8.5
10,07,7.5
10,08,8.6
10,09,7.8
10,10,7.6
10,11,8.4
10,12,7.4
10,13,7.7
10,14,8.7
10,15,8
10,16,8
10,17,7.2
10,18,8.5
10,19,7.2
10,20,7.6
10,21,7.3
10,22,8.8
10,23,7.5
10,24,7.7
11,01,8.1
11,02,8.2
11,03,9.3
11,04,7.9
11,05,7.6
11,06,8.3
11,07,8.8
11,08,8.8
11,09,8.5
11,10,7.7
11,11,8.9
11,12,7.5
11,13,7.2
11,14,7.1
11,15,8.5
11,16,8.7
11,17,7.5
11,18,7.8
11,19,8.3
11,20,8.5
11,21,8
11,22,7.9
11,23,8.9
11,24,9.3
